id,fecha,entrada (texto),página,categoría,término (lema),detectado,cita / contexto,Nivel (Rostagno),Tipo,Intención simbólica,Postura del testigo,¿Ruido?,Subtipo rumor,señal evaluativa (auto),notas
296,1592-02-06,El 6 de febrero,508,Sonido y ruido,artillería,artillería,con la artillería cuando entré a caballo en Villach y la atravesé,,,,,,,,
297,1592-02-06,El 6 de febrero,508,Sonido y ruido,artillería,artillería,artillería y después me hospedó con todos los míos durante muchos,,,,,,,,
298,1592-02-06,El 6 de febrero,508,Sonido y ruido,artillería,artillería,"Me recibieron con mucha artillería y muchos soldados en formación de batalla a las afueras de la ciudad (a pesar de que nevaba), y en",,,,,,,⟨cand. magnitud: mucha⟩,
299,1592-02-06,El 6 de febrero,508,Música,misa,misa,"San Matías, fui a la misa en Viktring, pero para el almuerzo regresé a",,,,,,,,
300,1592-05-01,El 1 de mayo,510,Música,misa,misa,a la misa,,,,,,,,
301,1592-05-01,El 1 de mayo,510,Música,misa,misa,El 4 se celebró una misa vespertina en santo recuerdo de la reina de,,,,,,,,
302,1592-11-01,El 1 de noviembre,512,Música,misa,misa,como siempre a la misa y en la,,,,,,,,
303,1592-12-01,El 1 de diciembre,513,Sonido y ruido,tiro,tiro,"tiro transilvanos, con vino italiano y austriaco y un delicioso pescado",,,,,,,,
304,1592-12-01,El 1 de diciembre,514,Música,misa,misa,El 26 antes de comer y después de oír misa me despedí de S,,,,,,,,
305,1592-01-01,El 1 de enero,515,Música,misa,misa,"Ernesto y la archiduquesa viuda, a misa, pero no me encontraba muy",,,,,,,,
306,1592-02-01,El 1 de febrero,517,Sonido y ruido,artillería,artillería,"el mencionado administrador me recibió junto con muchos señores distinguidos y nobles de este condado acompañados de 800 criados y artilleros, incluso con la artillería del Palacio donde me alojaba",,,,,,,,
307,1592-03-01,El 1 de marzo,518,Sonido y ruido,artillería,artillería,"castillo de Milán, donde se podía avistar toda la impresionante artillería",,,,,,,⟨cand. magnitud: muchos⟩,
308,1592-03-01,El 1 de marzo,518,Sonido y ruido,disparó,disparos,que lanzó muchos disparos y una gran salva,,,,,,,⟨cand. magnitud: muchos⟩,
309,1592-03-01,El 1 de marzo,518,Sonido y ruido,salva,salva,que lanzó muchos disparos y una gran salva,,,,,,,⟨cand. magnitud: muchos⟩,
310,1592-03-01,El 1 de marzo,519,Sonido y ruido,artillería,artillería,"Loano y saludé como es costumbre al príncipe y a la artillería de las galeras, éste me respondió con toda la artillería que tenía allí, y también me",,,,,,,,
311,1592-03-01,El 1 de marzo,519,Sonido y ruido,artillería,artillería,"Loano y saludé como es costumbre al príncipe y a la artillería de las galeras, éste me respondió con toda la artillería que tenía allí, y también me",,,,,,,,
312,1592-04-02,El 2 de abril,520,Sonido y ruido,dispararon,dispararon,"nos dispararon peligrosamente los hugonotes de la zona y nos desalojaron, y retrocedimos dos leguas italianas por seguridad",,,,,,,,
313,1592-04-02,El 2 de abril,520,Música,misa,misa,"ir a misa, alabado sea el señor",,,,,,,,
314,1592-04-02,El 2 de abril,520,Música,misa,misa,También fui a misa al día siguiente,,,,,,,,
315,1592-06-01,El 1 de junio,522,Música,misa,misa,"misa, después estuve mucho tiempo con S",,,,,,,⟨cand. magnitud: mucho⟩,
316,1592-07-22,el 22 de julio,524,Música,cantó,cantó,El 26 se cantó,,,,,,,,
317,1592-07-22,el 22 de julio,524,Música,Te Deum,Te Deum,el Te Deum laudamus en la capilla (¿?,,,,,,,,
318,1592-11-01,El 1 de noviembre,526,Música,timbal,timbales,"Y así se celebró el acto con extraordinaria ceremonia, con acompañamiento de los timbales y trompetas del ejército, e",,,,,,,,
319,1592-11-01,El 1 de noviembre,526,Música,trompeta,trompetas,"Y así se celebró el acto con extraordinaria ceremonia, con acompañamiento de los timbales y trompetas del ejército, e",,,,,,,,
320,1592-11-01,El 1 de noviembre,526,Música,misa,misa,fue a misa,,,,,,,,
321,1592-12-01,el 1 de diciembre,526,Música,misa,misa,"día siguiente, el 1 de diciembre, fue a misa",,,,,,,,
322,1592-12-01,el 1 de diciembre,526,Música,misa,misa,"a misa, y también el 8, día de Nuestra Señora",,,,,,,,
323,1592-11-03,el 3 de noviembre,527,Música,misa,misa,"príncipe a vísperas y también lo hice el día de Navidad, tanto a misa",,,,,,,,
324,1592-11-03,el 3 de noviembre,527,Música,misa,misa,El 26 volví a acompañar al príncipe a misa,,,,,,,,
325,1592-11-03,el 3 de noviembre,527,Música,misa,misa,El 27 escuché la misa en casa y tuve a varios embajadores y otros señores de huéspedes,,,,,,,,
326,1592-11-03,el 3 de noviembre,527,Sonido y ruido,pregón,Pregones,Pregones de,,,,,,,,
327,1592-11-03,el 3 de noviembre,527,Música,misa,misa,Felipe [III] se pasa el día yendo a misa,,,,,,,,
328,1592-01-01,El 1 de enero,528,Música,misa,misa,El 1 de enero del nuevo año acompañé al príncipe a misa,,,,,,,,
329,1592-01-01,El 1 de enero,528,Música,misa,misa,"a vísperas y, al día siguiente, a misa",,,,,,,,
330,1592-01-01,El 1 de enero,529,Música,misa,misa,acompañé al príncipe a misa,,,,,,,,
331,1592-01-01,El 1 de enero,529,Música,misa,misa,acompañé al príncipe a misa,,,,,,,,
332,1592-01-01,El 1 de enero,529,Música,misa,misa,Después de la misa estuve largo rato en,,,,,,,,
333,1592-02-01,El 1 de febrero,529,Música,misa,misa,acompañé a misa y a la procesión,,,,,,,,
334,1592-02-01,El 1 de febrero,529,Música,misa,misa,El 6 escolté de nuevo al príncipe a misa,,,,,,,,
335,1592-02-01,El 1 de febrero,529,Música,misa,misa,El 20 acompañé al príncipe a misa,,,,,,,,
336,1592-02-01,El 1 de febrero,530,Música,misa,misa,1594 escolté al príncipe a misa,,,,,,,,
337,1592-02-01,El 1 de febrero,530,Música,misa,misa,El 27 escolté al príncipe a misa,,,,,,,,
338,1592-03-02,2 de marzo,530,Música,misa,misa,El 6 escolté al príncipe a misa,,,,,,,,
339,1592-03-02,2 de marzo,530,Música,misa,misa,El 9 escolté al príncipe a misa y al sermón,,,,,,,,
340,1592-03-02,2 de marzo,530,Música,misa,misa,"El 23 escolté al príncipe a misa, también el 25, día de Nuestra Señora",,,,,,,,
341,1592-03-02,2 de marzo,530,Música,misa,misa,El 27 escolté al príncipe a misa,,,,,,,,
342,1592-04-01,El 1 de abril,530,Música,misa,misa,El 3 acompañé al rey a la misa y a la,,,,,,,,
343,1592-04-01,El 1 de abril,530,Música,misa,misa,"El 11 escolté al príncipe a misa, por la tarde tuve una larga audiencia con el rey",,,,,,,,
344,1592-04-01,El 1 de abril,530,Música,misa,misa,El 12 escolté al príncipe a misa,,,,,,,,
345,1592-04-01,El 1 de abril,531,Música,misa,misa,escolté al príncipe a misa,,,,,,,,
346,1592-04-01,El 1 de abril,531,Música,misa,misa,"escolté al príncipe a la capilla y, al día siguiente, a misa",,,,,,,,
347,1592-04-01,El 1 de abril,531,Música,misa,misa,"De igual manera, al día siguiente a misa, y después felicité las Pascuas a",,,,,,,,
348,1592-04-01,El 1 de abril,531,Música,misa,misa,misa,,,,,,,,
349,1592-12-02,El 2 de diciembre,533,Música,misa,misa,El 4 acompañé al príncipe a misa,,,,,,,,
350,1592-12-02,El 2 de diciembre,533,Música,misa,misa,El 8 acompañé otra vez al príncipe a misa,,,,,,,,
351,1592-12-02,El 2 de diciembre,533,Música,misa,misa,"Apóstol, escolté al príncipe a misa",,,,,,,,
352,1592-12-02,El 2 de diciembre,533,Música,misa,misa,día de Navidad escolté al príncipe a misa y le felicité las Pascuas,,,,,,,,
353,1592-12-02,El 2 de diciembre,533,Música,misa,misa,También los días 26 y 27 lo acompañé a misa,,,,,,,,
354,1592-12-02,El 2 de diciembre,534,Música,misa,misa,Acompaña al príncipe a misa,,,,,,,,
355,1592-01-01,El 1 de enero,534,Música,misa,misa,"El 1 de enero del año 95 escolté al príncipe a misa, el 5 a vísperas y",,,,,,,,
356,1592-01-01,El 1 de enero,534,Música,misa,misa,el 6 de nuevo a misa,,,,,,,,
357,1592-01-01,El 1 de enero,534,Música,misa,misa,al príncipe a misa,,,,,,,,
358,1592-01-01,El 1 de enero,534,Sonido y ruido,campana,campaña,Los triunfos en Hungría son narrados pormenorizadamente en un diario de campaña y por,,,,,,,,
359,1592-01-01,El 1 de enero,535,Música,misa,misa,escolté al príncipe a misa,,,,,,,,
360,1592-01-01,El 1 de enero,535,Música,misa,misa,El 29 escolté al príncipe a misa,,,,,,,,
361,1592-02-01,El 1 de febrero,535,Música,misa,misa,"El 1 de febrero escolté al príncipe a la iglesia a vísperas de Candelaria, también lo hice el día 2 a la misa y a la",,,,,,,,
362,1592-02-01,El 1 de febrero,535,Música,misa,misa,"El 8, miércoles de ceniza, y también los días 10, 12 y 15, acompañé al príncipe a misa y a los sermones",,,,,,,,
363,1592-02-01,El 1 de febrero,535,Música,misa,misa,"príncipe a misa, el 18 Aldobrandino tuvo su segunda audiencia con el",,,,,,,,
364,1592-02-01,El 1 de febrero,535,Música,misa,misa,de Santa María se los entregó muy solemnemente durante la misa ponti538,,,,,,,,
365,1603-03-01,El 1 de marzo,536,Música,misa,misa,"El mismo día escolté al príncipe a misa, y la Emperatriz visitó al rey",,,,,,,,
366,1603-03-01,El 1 de marzo,536,Música,misa,misa,"El 26, Domingo de Resurrección, escolté al príncipe a misa y le felicité las Pascuas, al igual que a la",,,,,,,,
367,1603-04-07,El 7 de abril,536,Música,cantó,cantó,"El 8 se cantó la misa de réquiem, en la que",,,,,,,,
368,1603-04-07,El 7 de abril,536,Música,misa,misa,"El 8 se cantó la misa de réquiem, en la que",,,,,,,,
369,1603-04-07,El 7 de abril,537,Música,misa,misa,"príncipe a misa y visité a la Emperatriz y al reiteradamente citado archiduque Alberto para tratar asuntos importantes, que de momento y por",,,,,,,,
370,1603-05-03,El 3 de mayo,537,Música,misa,misa,misa,,,,,,,,
371,1603-05-03,El 3 de mayo,537,Música,misa,misa,"El 25, día del Corpus Christi, acompañé al príncipe a la misa y a la procesión, que también partió de Santa",,,,,,,,
372,1603-06-01,El 1 de junio,538,Música,misa,misa,1595 pañé al príncipe a misa,,,,,,,,
373,1603-06-01,El 1 de junio,538,Música,músic*,músicos,"de rigor y en calidad de embajador imperial, con los músicos necesarios",,,,,,,,
374,1603-06-01,El 1 de junio,538,Música,misa,misa,príncipe a misa,,,,,,,,
375,1603-09-01,El 1 de septiembre,539,Sonido y ruido,campana,campaña,hacia Hungría y la presencia de Juan Francisco Aldobrandino en toda aquella crucial campaña lo,,,,,,,,
376,1603-12-02,El 2 de diciembre,542,Música,misa,misa,"Inmaculada Concepción, escolté al príncipe a misa",,,,,,,,
377,1603-12-02,El 2 de diciembre,542,Música,misa,misa,escolté al príncipe a misa,,,,,,,,
378,1603-12-02,El 2 de diciembre,542,Música,misa,misa,a misa,,,,,,,,
379,1603-12-02,El 2 de diciembre,542,Música,misa,misa,"Visitas rutinarias, acompañamientos a misa",,,,,,,,
380,1603-01-22,22 de enero,542,Música,misa,misa,Más acompañamientos a misa y lo bien informada de todo que estaba la Emperatriz,,,,,,,,
381,1603-01-22,22 de enero,543,Música,misa,misa,"El uno de enero del año nuevo escolté al príncipe a misa y, al atardecer, a la Emperatriz, mi más digna señora",,,,,,,,
382,1603-01-22,22 de enero,543,Música,misa,misa,el día 6 a misa,,,,,,,,
383,1603-01-22,22 de enero,543,Música,misa,misa,príncipe a la misa y al sermón,,,,,,,,
384,1603-01-22,22 de enero,544,Música,misa,misa,El 28 acompañé al príncipe a misa,,,,,,,,
385,1603-02-01,El 1 de febrero,544,Música,misa,misa,"el 2, a la misa y la procesión",,,,,,,,
386,1603-02-01,El 1 de febrero,544,Música,misa,misa,El día 4 escolté al príncipe a misa,,,,,,,,
387,1603-10-01,El 1 de octubre,548,Sonido y ruido,artillería,artillería,"a causa también del terrible temporal, no pudo enviar a la artillería pesada como hubiese sido necesario para liberar Eger, y una vez reunido",,,,,,,,
388,1603-12-01,El 1 de diciembre,549,Música,misa,misa,"El 15 fui a misa, y también los días 21 y 22 y acompañé",,,,,,,,
389,1603-12-01,El 1 de diciembre,549,Música,misa,misa,el día de Santo Tomás a la misa y a vísperas,,,,,,,,
390,1603-12-01,El 1 de diciembre,549,Música,misa,misa,"Navidad, acompañé al príncipe a la misa y le felicité las pascuas a S",,,,,,,,
391,1603-12-01,El 1 de diciembre,549,Música,misa,misa,igualmente lo acompañé a misa el 26,,,,,,,,
392,1603-12-01,El 1 de diciembre,550,Música,misa,misa,"Felipe [III] a misa, está presente en las audiencias de la Emperatriz, escucha a Moura",,,,,,,,
393,1603-12-01,El 1 de diciembre,550,Música,misa,Misas,Misas,,,,,,,,
394,1603-12-01,El 1 de diciembre,551,Música,misa,misa,"El 12 acompañé al príncipe a misa y a mediodía escolté a la Emperatriz, mi más benigna señora en su visita al rey",,,,,,,,
395,1603-12-01,El 1 de diciembre,551,Música,misa,misa,"El 23, día de San Ildefonso, escolté al príncipe a misa",,,,,,,,
396,1603-12-01,El 1 de diciembre,551,Música,misa,misa,misa,,,,,,,,
397,1603-02-01,El 1 de febrero,551,Música,misa,misa,"escolté al príncipe a la misa, a la procesión y a vísperas",,,,,,,,
398,1603-02-01,El 1 de febrero,551,Música,misa,misa,El 3 acompañé al príncipe a la misa,,,,,,,,
399,1603-02-01,El 1 de febrero,551,Música,misa,misa,a la misa,,,,,,,,
400,1603-02-01,El 1 de febrero,552,Música,misa,misa,Los días 23 y 24 escolté al príncipe a misa y a vísperas,,,,,,,,
401,1603-03-01,El 1 de marzo,552,Música,misa,misa,También escolté al príncipe a misa,,,,,,,,
402,1603-03-01,El 1 de marzo,552,Música,misa,misa,14 y 16 acompañé al príncipe a la misa y al sermón porque era la cuaresma,,,,,,,,
403,1603-03-01,El 1 de marzo,552,Música,misa,misa,Acompañé al príncipe a la misa y al sermón,,,,,,,,
404,1603-03-01,El 1 de marzo,552,Música,misa,misa,El 23 acompañé al príncipe a misa y,,,,,,,,
405,1603-03-01,El 1 de marzo,552,Música,misa,misa,misa y al sermón,,,,,,,,
406,1603-03-01,El 1 de marzo,552,Música,misa,misa,la misa y a la procesión,,,,,,,,
407,1603-04-01,El 1 de abril,553,Música,misa,misa,El 20 acompañé al príncipe a misa,,,,,,,,
408,1603-05-01,El 1 de mayo,553,Música,misa,misa,a misa,,,,,,,,
409,1603-05-01,El 1 de mayo,553,Música,misa,misa,El 4 escolté a la Emperatriz a misa en Nuestra Señora de Atocha,,,,,,,,
410,1603-05-01,El 1 de mayo,553,Música,misa,misa,a misa en las Descalzas fuera de Madrid,,,,,,,,
411,1603-05-01,El 1 de mayo,553,Música,misa,misa,misa en San Jerónimo558,,,,,,,,
412,1603-12-06,El 6 de diciembre,557,Música,misa,Misa,El 24 escolté al príncipe a la Misa de Gallo y después felicité las,,,,,,,,
413,1603-12-06,El 6 de diciembre,557,Música,misa,misa,El 27 volví a acompañar al príncipe a misa,,,,,,,,
414,1603-12-06,El 6 de diciembre,557,Música,misa,misas,Felipe [III] en misas,,,,,,,,
415,1603-01-01,El 1 de enero,558,Música,misa,misa,El 1 de enero del año 1598 escolté al príncipe a misa y después felicité a la Emperatriz el Año Nuevo,,,,,,,,
416,1603-01-01,día 1 de enero,558,Música,misa,misa,El 6 escolté al príncipe a misa,,,,,,,,
417,1603-01-01,día 1 de enero,559,Música,misa,misa,El 18 escolté al príncipe a misa,,,,,,,,
418,1603-01-01,día 1 de enero,559,Música,misa,misa,El 25 escolté al príncipe a misa,,,,,,,,
419,1603-02-01,El 1 de febrero,559,Música,misa,misa,"día siguiente a la misa y a la procesión, por la noche visité a la Emperatriz",,,,,,,,
420,1603-02-01,El 1 de febrero,559,Música,misa,misa,"El 6 volví a acompañar al príncipe a misa y al sermón, lo mismo hice",,,,,,,,
421,1603-02-01,El 1 de febrero,559,Música,misa,misa,"El 20 acompañé al príncipe a la misa y al sermón, esto",,,,,,,,
422,1603-02-01,El 1 de febrero,559,Música,misa,misa,El mes de marzo escolté y acompañé al príncipe varias veces a misa,,,,,,,,
423,1603-02-01,El 1 de febrero,559,Música,misa,misa,príncipe a misa y a la procesión,,,,,,,,
424,1603-02-01,El 1 de febrero,559,Música,misa,misa,El 20 fui a misa en mi parroquia,,,,,,,,
425,1603-02-01,El 1 de febrero,560,Música,misa,misa,"Resurrección, escolté al príncipe a misa y al sermón",,,,,,,,
426,1603-02-01,El 1 de febrero,560,Música,misa,misa,El 23 fui a misa y al,,,,,,,,
427,1603-04-04,El 4 de abril,560,Música,misa,misa,El 5 acompañé al príncipe a misa,,,,,,,,
428,1603-04-04,El 4 de abril,560,Música,misa,misa,El 12 escolté al príncipe a misa,,,,,,,,
429,1603-04-04,El 4 de abril,560,Música,misa,misa,El 16 fui con el príncipe a misa y parece que el rey,,,,,,,,
430,1603-04-04,El 4 de abril,560,Música,misa,misa,El 25 escolté al príncipe a la misa,,,,,,,,
431,1603-05-04,El 4 de mayo,561,Música,misa,misa,"El 9, víspera de Pentecostés, escolté al príncipe a misa, por la",,,,,,,,
432,1603-05-04,El 4 de mayo,561,Música,misa,misa,misa y al sermón y felicité las Pascuas a S,,,,,,,,
433,1603-05-04,El 4 de mayo,561,Música,misa,misa,"después acompañé al príncipe a misa el 11, donde se cantó el Te deum",,,,,,,,
434,1603-05-04,El 4 de mayo,561,Música,cantó,cantó,"después acompañé al príncipe a misa el 11, donde se cantó el Te deum",,,,,,,,
435,1603-05-04,El 4 de mayo,561,Música,Te Deum,Te deum,"después acompañé al príncipe a misa el 11, donde se cantó el Te deum",,,,,,,,
436,1603-05-04,El 4 de mayo,561,Música,misa,misa,El 12 volví a ir a misa con el príncipe y por la tarde me anuncié ante la Emperatriz,,,,,,,,
437,1603-05-04,El 4 de mayo,561,Música,misa,misa,al príncipe a misa,,,,,,,,
438,1603-05-04,El 4 de mayo,561,Música,misa,misa,príncipe a vísperas del Corpus Christi y el 21 a misa,,,,,,,,
439,1603-05-04,El 4 de mayo,561,Música,misa,misa,el príncipe a misa y ese mes visité diariamente a la Emperatriz y mantuve la debida correspondencia con S,,,,,,,,
440,1603-06-02,2 de junio,561,Música,misa,misa,"El 21 escolté al príncipe a misa, y",,,,,,,,
441,1603-06-02,2 de junio,561,Música,misa,misa,también a vísperas el 23 y a la misa de San Juan el día 24,,,,,,,,
442,1603-06-02,2 de junio,561,Música,misa,misa,"Pablo, a la misa",,,,,,,,
443,1603-09-01,El 1 de septiembre,564,Música,misa,misa,"el funeral del rey en San Jerónimo, y el 19 tuvo lugar la misa solemne",,,,,,,⟨cand. evaluativa: solemne⟩,
444,1603-11-03,El 3 de noviembre,564,Música,misa,misa,También acompañé al rey a misa,,,,,,,,
445,1603-12-02,El 2 de diciembre,565,Música,misa,Misa,Escolté al rey a la Misa de Gallo así como a las misas de los días 25 y 26,,,,,,,,
446,1603-12-02,El 2 de diciembre,565,Música,misa,misas,Escolté al rey a la Misa de Gallo así como a las misas de los días 25 y 26,,,,,,,,
447,1603-12-02,El 2 de diciembre,565,Música,misa,misa,El 31 acompañé al rey a la misa de Año Nuevo,,,,,,,,
448,1603-12-02,El 2 de diciembre,565,Música,misa,misa,"El 1-I-1599 Felipe III acude a misa de los jesuitas, pero no se avisa a",,,,,,,,
449,1603-12-02,El 2 de diciembre,565,Música,misa,misas,misas,,,,,,,,
450,1603-12-02,El 2 de diciembre,566,Música,misa,misas,Audiencias y misas,,,,,,,,
451,1603-12-02,El 2 de diciembre,566,Música,misa,misas,"Visitas, misas y",,,,,,,,
452,1603-01-01,El 1 de enero,566,Música,misa,misa,El 1 de enero del año 1599 el rey fue misa de los jesuitas a caballo y,,,,,,,,
453,1603-01-01,El 1 de enero,566,Música,misa,misa,"escuchar misa en la Trinidad, yo le acompañé",,,,,,,,
454,1603-01-01,El 1 de enero,566,Música,misa,misa,El 5 escolté al rey a vísperas y el 6 a la misa de Reyes,,,,,,,,
455,1603-01-01,El 1 de enero,566,Música,misa,misa,al rey a misa a San Felipe,,,,,,,,
456,1603-01-01,El 1 de enero,567,Música,misa,misa,a la misa de la,,,,,,,,
457,1603-04-06,el 6 de abril,568,Música,misa,misa,"El 11, Domingo de Resurrección, estuve en misa en",,,,,,,,
458,1603-05-02,El 2 de mayo,569,Música,misa,misa,"mi graciosísima señora, asistió a misa en",,,,,,,,
459,1603-10-01,El 1 de octubre,571,Música,misa,misa,a misa,,,,,,,⟨cand. magnitud: gran⟩,
460,1603-10-01,El 1 de octubre,571,Música,misa,misa,El 31 escolté al rey a misa,,,,,,,,
461,1603-11-01,El 1 de noviembre,571,Música,misa,misa,"El 1 de noviembre, día de Todos los Santos, acompañé al rey a misa",,,,,,,,
462,1603-12-01,El 1 de diciembre,572,Música,misa,misa,"1599 pañé al rey a misa, hacia última hora de la tarde S",,,,,,,,
463,1603-12-01,El 1 de diciembre,572,Música,misa,misa,escolté al rey a misa y lo acompañé,,,,,,,,
464,1603-12-01,El 1 de diciembre,572,Música,misa,misa,"El 21, día de Santo Tomás, escolté al rey a misa",,,,,,,,
465,1603-12-01,El 1 de diciembre,572,Música,misa,misa,"El 25 lo escolté a misa y, después de ella, felicité las Pascuas a S",,,,,,,,
466,1603-12-01,El 1 de diciembre,572,Música,misa,misa,El 26 el escolté al rey a misa,,,,,,,,
467,1603-12-01,El 1 de diciembre,573,Música,misa,misa,Hans a misa con el rey en los jesuitas,,,,,,,,
468,1603-12-01,El 1 de diciembre,573,Música,misa,misa,La Emperatriz se desmaya en misa,,,,,,,,
469,1603-01-01,El 1 de enero,574,Música,misa,misa,El 1 de enero del año 1600 escolté al rey a misa donde los jesuitas,,,,,,,,
470,1603-01-01,El 1 de enero,574,Música,misa,misa,"encontró bien, por lo que no fue a misa públicamente",,,,,,,,
471,1603-01-01,El 1 de enero,574,Música,misa,misa,el rey mejoró y lo acompañé a misa,,,,,,,,
472,1603-01-01,El 1 de enero,574,Música,misa,misa,escolté a misa,,,,,,,,
473,1603-01-01,El 1 de enero,574,Música,misa,misa,escolté al rey a misa,,,,,,,,
474,1603-02-01,El 1 de febrero,575,Música,misa,misa,El 2 no estuve en la misa ni en la procesión de Palacio por negocios,,,,,,,⟨cand. evaluativa: extraordinario⟩,
475,1603-03-01,El 1 de marzo,576,Música,misa,misa,"1600 el conocimiento durante la misa de la mañana, lo que duró un buen rato",,,,,,,⟨cand. evaluativa: buen⟩,
476,1603-04-01,El 1 de abril,576,Música,misa,misa,El 23 escolté al rey a misa,,,,,,,,
477,1603-05-01,El 1 de mayo,576,Música,misa,misa,El 14 acompañé al rey a misa,,,,,,,,
478,1603-08-01,El 1 de agosto,580,Música,misa,misa,"El 8 el rey oyó misa en el Carmen, yo estuve presente y esa",,,,,,,,
479,1603-08-01,El 1 de agosto,580,Música,misa,misa,El 17 escolté al rey a misa en Palacio,,,,,,,,
480,1603-10-05,el 5 de octubre,581,Música,misa,misa,"San Simón y San Judas Tadeo, escolté al rey a misa",,,,,,,,
481,1603-10-05,el 5 de octubre,581,Música,misa,misa,El 29 volví a acompañar al rey a misa,,,,,,,,
482,1603-10-05,el 5 de octubre,581,Música,misa,misa,"El 12 escolté al rey a misa, después de ésta S",,,,,,,,
483,1603-12-01,El 1 de diciembre,582,Música,misa,misa,"a misa, también el 18",,,,,,,,
484,1603-12-01,El 1 de diciembre,582,Música,misa,Misa,El 24 acompañé al rey a la Misa de Gallo,,,,,,,,
485,1603-12-01,El 1 de diciembre,582,Música,misa,misa,"El 25, Navidad, lo escolté a misa",,,,,,,,
486,1603-12-01,El 1 de diciembre,582,Música,misa,misa,"Juan, acompañé al rey a misa",,,,,,,,
487,1603-12-01,El 1 de diciembre,582,Música,misa,misa,"Los reyes vuelven a ir a misa de los jesuitas, con largo séquito",,,,,,,,
488,1603-12-01,El 1 de diciembre,582,Música,misa,misa,Hans acompaña al rey a misa,,,,,,,,
489,1603-12-01,El 1 de diciembre,583,Música,misa,misa,El 1 el rey y la reina fueron en coche a la misa,,,,,,,,
490,1603-12-01,El 1 de diciembre,584,Música,misa,misa,misa,,,,,,,,
491,1603-12-01,El 1 de diciembre,584,Música,misa,misa,también acompañé al rey a misa,,,,,,,,
492,1603-06-01,El 1 de junio,587,Música,misa,misa,acompañé al rey a la misa en Palacio y ese mes no faltaron las visitas que,,,,,,,,
493,1603-06-01,El 1 de junio,587,Música,misa,misa,El 1 (de julio) escolté y acompañé al rey a misa,,,,,,,,
494,1602-09-03,El 3 de septiembre,594,Música,misa,misa,El 30 acudí a la misa,,,,,,,,
495,1603-01-01,El 1 de enero de 1603,596,Sonido y ruido,salva,salva,"que era una salva de plata, oro y",,,,,,,,
496,1603-03-01,El 1 de marzo,600,Música,cantaron,cantaron,lugar las honras en las que cantaron las tres misas el arzobispo y los,,,,,,,,
497,1603-03-01,El 1 de marzo,600,Música,misa,misas,lugar las honras en las que cantaron las tres misas el arzobispo y los,,,,,,,,
498,1603-04-02,El 2 de abril,601,Sonido y ruido,aclam*,aclamación,"aclamación fue sucedida por el rey Jacobo de Escocia572, primero de ese",,,,,,,⟨cand. magnitud: muchos⟩,
499,1603-04-02,El 2 de abril,601,Música,misa,misa,"su Colegio de Madrid, ese día celebraron vísperas, al día siguiente misa",,,,,,,,
500,1603-11-01,El 1 de noviembre,605,Música,misa,misa,El 23 el rey y la reina llegaron a las Descalzas a oír la misa y visitaron,,,,,,,,
501,1603-12-01,El 1 de diciembre,607,Música,misa,misa,misa,,,,,,,,
502,1603-12-01,El 1 de diciembre,608,Música,misa,misas,Acompaña al rey a misas,,,,,,,,
503,1603-12-01,El 1 de diciembre,608,Música,misa,Misa,Hans acompaña al rey a la Misa de Gallo,,,,,,,,
