id,pagina,termino,ambito,nivel_rostagno,postura_oyente,cualificadores,magnitud,instrumentos_nombrados,generos_piezas,escucha_explicita,cita
17,57,chirimías,sacro / litúrgico,símbolo,registro,,,"chirimías, trompetas",,,"Auiendo estado la reyna sentada algún tiempo mientras tocauan las chirimías y trompetas, después de auer cessado de tañer, el rey la llcuó al altar y la puso delante del arçobispo y le dixo estas palabras, «Reuerendo padre, pedimos os que tengáis por bien de bendezir esta nuestra consorte con quien Dios nos juntó y honrarla con la corona real, a honrra y gloria de nuestro señor Jesuchristo»"
18,61,trompetas,sacro / litúrgico,símbolo,registro,,,"chirimías, trompetas",,,"A la entrada del rey tocaron todas las trompetas y chirimías, como lo auían hecho quando entró el emperador, hasta que llegó en medio del cuerpo de la yglesia, donde le aguardauan los obispos de Erla y Sictemontes vestidos ricamente de pontifical que hacían vna apacible y agradable vista"
19,62,chirimías,sacro / litúrgico,símbolo,registro,,,chirimías,letanías,,Después de dicha se hincaron todos de rodillas y las chirimías y música començaron a cantar las letanías
20,62,letanías,sacro / litúrgico,símbolo,registro,,,,letanías,,"Dichas las letanías, los obispos dixeron el paternoster y el argobispo vngió al rey, primeramente en el pulgar de la mano derecha, después la palma de la mano y luego en los hombros jun to al juego de los bragos, diciendo aquella oración que comiença «Deus Dei filius Jesus Christus Deus nosten»"
21,62,hymno,sacro / litúrgico,símbolo,valoración estética,"concertadas, suauidad","mucha, todo género","chirimías, cornetas, flautas, sacabuzas, órganos","hymno, te deum",sí,"Leuantándose en pie el rey se desciñó el estoque y le dio a Perncio, el qual auiéndole tomado le lleuó delante el rey, al qual llevaron el argobispo y obispos al solio y estrado, y con este acto le pusieron en possessión del reyno de Vngría diziendo primero aquellas palabras «sta et retime, ersléter]a», después deste hymno se siguió luego otro de alegría y contento en señal de victoria y buen sucesso que comienza «te deum laudamus» que se cantó con mucha suauidad a coros de chirimías, flautas, cornetas, sacabuzas y órganos y todo género de instrumentos músicos y concertadas vozes"
22,62,hymno,sacro / litúrgico,símbolo,registro,,,,hymno,,"Acabado este hymno boluió el argobispo a dezir algunas oraciones y preces que comiencan «firmetur manus tua, ets[éter]a»"
23,96,sarao,profano / cortesano,símbolo,ponderación de magnitud,,mucho,,,,"“hubo vna máscara en la qual entró el rey Rodulfo, y el conde de Franquenburg acompañó a su alt[ezJa enmáscarado y con mucho regosizo dansaron en el sarao"
24,128,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,gran,,,,"""En este tiempo el emperador Rodulfo confirmó el sentarse en la capilla imperial el embajador del duque de Florencia después de el de Venecia, lo qual auía concedido primero su padre Maximiliano al gran duque, aunque protestó y reclamó el rey don Felipe, “pretendiendo que se causaua perjuycio al duque de Saboia y a los demás príncipes de Italia, el qual desde allí adelante aun no quiso darle título de ill[ustrísi)mo"
25,128,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,gran,,,,"""Por este tiempo, su maglesta]d del rey don Felipe hizo gran prior de Castilla al archiduque Vencislao, a Marco Antonio Columna nombró virrey de Sicilia y hizo del 22 Al embajador de Florencia se confirma el asiento en la capilla del empleradlor 2* Contrad[1ca Jón del rey don) Felipe 2” al assiento del embaj[ad]or de Floreníci]a en la capilla 1 El archiduqlue] Venaslao gran pror de Casulla"
26,146,música,sacro / litúrgico,símbolo,valoración estética,solemne,grande,"chirimías, trompetas",,,"Él al principio se escusó, pero luego que huuo nucuas más ciertas de la muerte del rey dion] Sebastián, auiendo con solemne ceremonia rompido en las puertas de las yglestas los tres escudos negros que se lleuaron por toda la ciudad, notificando los que los lleuauan la muerte del rey a quantos topauan, '”a veinti seys de agosto el cardenal don Enrrique salió a mula con grande acompañamiento y pompa, y fue a la yglesia del hospital, delante del Dleuaua el estoque desnudo el duque de Verganga, almirante de aquel reyno, a quien toca por sucessión, y Fran(cis]co Saá, vnos de los quatro que auían gouernado, le puso vn cetro en la mano, y acabadas las ceremonias, con el mismo acompañamiento y pompa que auía venido, lleuando siempre el cetro en la mano, boluió a palacio con grande música de trompetas y chirimías que se oían por toda la ciudad"
27,151,baileo,militar / señalético,índice,registro,,,,,,"Fueron presos el de Gogni, Haure y Baileo su hermano, los muertos fueron pocos fuera de la infantería, ganáronse tres vanderas de infantería y quatro vanderas de cauallos"
