id,página,difunto/evento (probable),tipo,términos,voz,1ª persona,motivo clasif.,cita / contexto
207,250,Felipe II (†1598),ceremonia,cadáver,aparato,,señal aparato: ags,"detalle estos acontecimientos, además de la traslación del cadáver"
208,250,Felipe II (†1598),muerte,"fallecimiento, muerte",aparato,,señal aparato: ags,Muestras de pesar por el fallecimiento del Emperador y reflexiones sobre la vida y la muerte
209,250,Felipe II (†1598),muerte,muerte,aparato,,señal aparato: ags,"En E-652, 53 la comunicación oficial de Maximiliano de la muerte de"
210,251,Emperador/triz (?),muerte,fallecimiento,diario,,cuerpo del diario,"antes de su fallecimiento a su confesor Litardo, que cuando estuviera"
211,251,Emperador Maximiliano II (†1576),ceremonia,exequias,diario,,cuerpo del diario,Las exequias
212,251,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,La muerte de Fernando y la proclamación de Maximiliano iban acompañadas de un gran
213,251,Emperatriz María (†1603),ceremonia,pésame,aparato,,señal aparato: ags,pésame al conde de Fuensalida e inmediatamente a Chantonay (el hermano del Cardenal Granvela)
214,251,Felipe II (†1598),ceremonia,"muerte, pésame",aparato,,señal aparato: ags,"Como digo, simultáneamente se mandó al conde de Fuensalida, por la vía de Bruselas y Baviera, a Viena a dar el pésame por la muerte del Emperador Fernando I, en nombre de Felipe II"
215,252,(general / otros),ceremonia,pésame,diario,,cuerpo del diario,"No obstante, hay un borrador de pésame de don"
216,255,Emperador Maximiliano II (†1576),muerte,falleció,diario,,cuerpo del diario,mencionado falleció pocos días después en Viena aquejado de disentería
217,255,Felipe II (†1598),ceremonia,"funeral, funerales",aparato,,señal aparato: ags,a los de Ferrara…» Todo ello en la víspera de los funerales por Fernando I
218,256,Emperatriz María (†1603),ceremonia,cadáver,aparato,,señal aparato: ags,"Los silencios de Hans sobre la traslación del cadáver de Fernando a Praga son, cuando menos, extraños"
219,257,Archiduque/esa,ceremonia,honras,diario,,cuerpo del diario,"Aun a pesar de los buenos votos de Hans, la llegada en julio de 1565 del Archiduque Fernando a Viena para las honras de su padre Fernando I fue apoteósica…, o patética"
220,258,Papa/Pontífice,ceremonia,"condolencia, condolencias",diario,,cuerpo del diario,"Hans es enviado de nuevo a Italia, para dar las condolencias en nombre"
221,258,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,del Emperador por la muerte del Papa
222,265,Emperador/triz (?),ceremonia,sepultura,diario,,cuerpo del diario,fue conducido a la santa casa del conde y ahí recibió sepultura con la
223,266,Archiduque/esa,muerte,muerte,diario,,cuerpo del diario,"como resultado de la disputa y los disparos, hubo dos muertes"
224,267,Emperatriz María (†1603),muerte,murió,aparato,,señal aparato: ags,Este Carlos murió en 1566
225,267,Emperatriz María (†1603),muerte,murió,aparato,,señal aparato: ags,"«A los xxiii de este [mayo de 1566] murió de viruelas en Viena el hijo del Emperador que nació postreramente a los xxvii de septiembre» Chantonay a Felipe II, desde Augusta, 31-VI-1566, AGS, E-655, 45"
226,272,Archiduque/esa,ceremonia,"muerte, pésame",diario,,cuerpo del diario,y el pésame de la muerte de la princesa Margarita…» Pero resulta que Fernando estaba en Múnich
227,272,(general / otros),ceremonia,pésame,aparato,,señal aparato: ags,"Fernando agradeciendo el pésame es de Innsbruck, 2-X-1567 y está en AGS, E-657, 100"
228,273,Felipe II (†1598),muerte,muerte,aparato,,señal aparato: ags,"luego, por los gravísimos problemas en Palacio (don Carlos, muerte de la reina…)"
229,274,Felipe II (†1598),ceremonia,honras,aparato,,señal aparato: ags,"de las mercedes y honras que Vuestra Majestad le ha mandado hacer…», si bien parece ser que"
230,277,Reina (?),muerte,fallecido,diario,,cuerpo del diario,"Margarita, soltera, hija del Emperador Fernando, había fallecido cristianamente el 14 de marzo en Innsbruck250"
231,277,Emperador/triz (?),muerte,muerte,aparato,,señal aparato: vease,"«Ha venido acá nueva de la muerte de la princesa Margarita, hermana del Emperador, la cual"
232,277,Felipe II (†1598),ceremonia,luto,aparato,,señal aparato: ags,"de un año y medio a esta parte andaba ética, por la cual el Emperador se pone luto y la Corte también, por tres meses», de Chantonay a Felipe II, Praga, 20-III-1567, AGS, E-657, 34"
233,285,Príncipe (heredero),muerte,murió,aparato,,señal aparato: hans se,parte del rey de Francia murió el viejo y honrado Condestable
234,286,Archiduque/esa,ceremonia,cera,diario,,cuerpo del diario,"«Karl, Erzherzog von Österreich, verleiht Hans Khevenhüller […] uns seinen Brüdern den Wildbann in der Herrschaft und im Landgericht Landskron» (Carlos, Archiduque de Austria, concede a Hans Khevenhüller […] y a sus hermanos los derechos de caza en el señorío y jurisdicción de Landscron), Original en pergamino con sello en cera y lacre, Graz, 1-XII-1567"
235,289,Felipe II (†1598),muerte,falleció,aparato,,señal aparato: ags,"El día 24, víspera de Santiago, falleció"
236,296,Príncipe don Carlos,muerte,muerte,diario,,cuerpo del diario,aplaza el viaje al saberse la nueva de la muerte de don Carlos
237,297,Príncipe don Carlos,muerte,fallecido,diario,,cuerpo del diario,había fallecido el 24 de julio –la víspera de Santiago– se canceló
238,297,Príncipe don Carlos,muerte,muerte,diario,,cuerpo del diario,"Efectivamente, Chantonay fue informado de la muerte de don Carlos por carta de 27 de julio"
239,297,Emperador/triz (?),ceremonia,luto,diario,,cuerpo del diario,«lo han sentido mucho y se han puesto luto y mandado a todos los de la Corte que a lo menos se
240,297,(general / otros),ceremonia,pésame,diario,,cuerpo del diario,«Andan remirando a quién enviarán para dar el pésame a Vuestra Majestad y para esto han
